time[s],velocity[m/s],displacement[ft]
0,2,0
1,2,6
2,2,12
3,2,18
4,2,24
5,2,30
6,2,36
7,2,42
8,2,48
9,2,54
10,2,60
11,2,66
12,2,72
13,2,78
14,2,84
15,2,90
16,2,96
17,2,102
18,2,108
19,2,114
20,2,120
21,2,126
22,2,132
23,2,138
24,2,144
25,2,150
26,2,156
27,2,162
28,2,168
29,2,174
30,2,180
31,2,186
32,2,192
33,2,198
34,2,204
35,2,210
36,2,216
37,2,222
38,2,228
39,2,234
40,2,240
41,2,246
42,2,252
43,2,258
44,2,264
45,2,270
46,2,276
47,2,282
48,2,288
49,2,294
50,2,300
51,2,306
52,2,312
53,2,318
54,2,324
55,2,330
56,2,336
57,2,342
58,2,348
59,2,354
60,2,360
61,2,366
62,2,372
63,2,378
64,2,384
65,2,390
66,2,396
67,2,402
68,2,408
69,2,414
70,2,420
71,2,426
72,2,432
73,2,438
74,2,444
75,2,450
76,2,456
77,2,462
78,2,468
79,2,474
80,2,480
81,2,486
82,2,492
83,2,498
84,2,504
85,2,510
86,2,516
87,2,522
88,2,528
89,2,534
90,2,540
91,2,546
92,2,552
93,2,558
94,2,564
95,2,570
96,2,576
97,2,582
98,2,588
99,2,594
100,2,600
101,2,606
102,2,612
103,2,618
104,2,624
105,2,630
106,2,636
107,2,642
108,2,648
109,2,654
110,2,660
111,2,666
112,2,672
113,2,678
114,2,684
115,2,690
116,2,696
117,2,702
118,2,708
119,2,714
120,2,720
121,2,726
122,2,732
123,2,738
124,2,744
125,2,750
126,2,756
127,2,762
128,2,768
129,2,774
130,2,780
131,2,786
132,2,792
133,2,798
134,2,804
135,2,810
136,2,816
137,2,822
138,2,828
139,2,834
140,2,840
141,2,846
142,2,852
143,2,858
144,2,864
145,2,870
146,2,876
147,2,882
148,2,888
149,2,894
150,2,900
151,2,906
152,2,912
153,2,918
154,2,924
155,2,930
156,2,936
157,2,942
158,2,948
159,2,954
160,2,960
161,2,966
162,2,972
163,2,978
164,2,984
165,2,990
166,2,996
167,2,1002
168,2,1008
169,2,1014
170,2,1020
171,2,1026
172,2,1032
173,2,1038
174,2,1044
175,2,1050
176,2,1056
177,2,1062
178,2,1068
179,2,1074
180,2,1080
181,2,1086
182,2,1092
183,2,1098
184,2,1104
185,2,1110
186,2,1116
187,2,1122
188,2,1128
189,2,1134
190,2,1140
191,2,1146
192,2,1152
193,2,1158
194,2,1164
195,2,1170
196,2,1176
197,2,1182
198,2,1188
199,2,1194
200,2,1200
201,2,1206
202,2,1212
203,2,1218
204,2,1224
205,2,1230
206,2,1236
207,2,1242
208,2,1248
209,2,1254
210,2,1260
211,2,1266
212,2,1272
213,2,1278
214,2,1284
215,2,1290
216,2,1296
217,2,1302
218,2,1308
219,2,1314
220,2,1320
221,2,1326
222,2,1332
223,2,1338
224,2,1344
225,2,1350
226,2,1356
227,2,1362
228,2,1368
229,2,1374
230,2,1380
231,2,1386
232,2,1392
233,2,1398
234,2,1404
235,2,1410
236,2,1416
237,2,1422
238,2,1428
239,2,1434
240,2,1440
241,2,1446
242,2,1452
243,2,1458
244,2,1464
245,2,1470
246,2,1476
247,2,1482
248,2,1488
249,2,1494
250,2,1500
251,2,1506
252,2,1512
253,2,1518
254,2,1524
255,2,1530
256,2,1536
257,2,1542
258,2,1548
259,2,1554
260,2,1560
261,2,1566
262,2,1572
263,2,1578
264,2,1584
265,2,1590
266,2,1596
267,2,1602
268,2,1608
269,2,1614
270,2,1620
271,2,1626
272,2,1632
273,2,1638
274,2,1644
275,2,1650
276,2,1656
277,2,1662
278,2,1668
279,2,1674
280,2,1680
281,2,1686
282,2,1692
283,2,1698
284,2,1704
285,2,1710
286,2,1716
287,2,1722
288,2,1728
289,2,1734
290,2,1740
291,2,1746
292,2,1752
293,2,1758
294,2,1764
295,2,1770
296,2,1776
297,2,1782
298,2,1788
299,2,1794
300,2,1800
301,2,1806
302,2,1812
303,2,1818
304,2,1824
305,2,1830
306,2,1836
307,2,1842
308,2,1848
309,2,1854
310,2,1860
311,2,1866
312,2,1872
313,2,1878
314,2,1884
315,2,1890
316,2,1896
317,2,1902
318,2,1908
319,2,1914
320,2,1920
321,2,1926
322,2,1932
323,2,1938
324,2,1944
325,2,1950
326,2,1956
327,2,1962
328,2,1968
329,2,1974
330,2,1980
331,2,1986
332,2,1992
333,2,1998
334,2,2004
335,2,2010
336,2,2016
337,2,2022
338,2,2028
339,2,2034
340,2,2040
341,2,2046
342,2,2052
343,2,2058
344,2,2064
345,2,2070
346,2,2076
347,2,2082
348,2,2088
349,2,2094
350,2,2100
351,2,2106
352,2,2112
353,2,2118
354,2,2124
355,2,2130
356,2,2136
357,2,2142
358,2,2148
359,2,2154
360,2,2160
361,2,2166
362,2,2172
363,2,2178
364,2,2184
365,2,2190
366,2,2196
367,2,2202
368,2,2208
369,2,2214
370,2,2220
371,2,2226
372,2,2232
373,2,2238
374,2,2244
375,2,2250
376,2,2256
377,2,2262
378,2,2268
379,2,2274
380,2,2280
381,2,2286
382,2,2292
383,2,2298
384,2,2304
385,2,2310
386,2,2316
387,2,2322
388,2,2328
389,2,2334
390,2,2340
391,2,2348
392,2,2352
393,2,2358
394,2,2364
395,2,2370
396,2,2376
397,2,2382
398,2,2388
399,2,2394
400,4,4800
401,4,4812
402,4,4824
403,4,4836
404,4,4848
405,4,4860
406,4,4872
407,4,4884
408,4,4896
409,4,4908
410,4,4920
411,4,4932
412,4,4944
413,4,4956
414,4,4968
415,4,4980
416,4,4992
417,4,5004
418,4,5016
419,4,5028
420,4,5040
421,4,5052
422,4,5064
423,4,5076
424,4,5088
425,4,5100
426,4,5112
427,4,5124
428,4,5136
429,4,5148
430,4,5160
431,4,5172
432,4,5184
433,4,5196
434,4,5208
435,4,5220
436,4,5232
437,4,5244
438,4,5256
439,4,5268
440,4,5280
441,4,5292
442,4,5304
443,4,5316
444,4,5328
445,4,5340
446,4,5352
447,4,5364
448,4,5376
449,4,5388
450,4,5400
451,4,5412
452,4,5424
453,4,5436
454,4,5448
455,4,5460
456,4,5472
457,4,5484
458,4,5496
459,4,5508
460,4,5520
461,4,5532
462,4,5544
463,4,5556
464,4,5568
465,4,5580
466,4,5592
467,4,5604
468,4,5616
469,4,5628
470,4,5640
471,4,5652
472,4,5664
473,4,5676
474,4,5688
475,4,5700
476,4,5712
477,4,5724
478,4,5736
479,4,5748
480,4,5760
481,4,5772
482,4,5784
483,4,5796
484,4,5808
485,4,5820
486,4,5832
487,4,5844
488,4,5856
489,4,5868
490,4,5880
491,4,5892
492,4,5904
493,4,5916
494,4,5928
495,4,5940
496,4,5952
497,4,5964
498,4,5976
499,4,5988
500,4,6000
501,4,6012
502,4,6024
503,4,6036
504,4,6048
505,4,6060
506,4,6072
507,4,6084
508,4,6096
509,4,6108
510,4,6120
511,4,6132
512,4,6144
513,4,6156
514,4,6168
515,4,6180
516,4,6192
517,4,6204
518,4,6216
519,4,6228
520,4,6240
521,4,6252
522,4,6264
523,4,6276
524,4,6288
525,4,6300
526,4,6312
527,4,6324
528,4,6336
529,4,6348
530,4,6360
531,4,6372
532,4,6384
533,4,6396
534,4,6408
535,4,6420
536,4,6432
537,4,6444
538,4,6456
539,4,6468
540,4,6480
541,4,6492
542,4,6504
543,4,6516
544,4,6528
545,4,6540
546,4,6552
547,4,6564
548,4,6576
549,4,6588
550,4,6600
551,4,6612
552,4,6624
553,4,6636
554,4,6648
555,4,6660
556,4,6672
557,4,6684
558,4,6696
559,4,6708
560,4,6720
561,4,6732
562,4,6744
563,4,6756
564,4,6768
565,4,6780
566,4,6792
567,4,6804
568,4,6816
569,4,6828
570,4,6840
571,4,6852
572,4,6864
573,4,6876
574,4,6888
575,4,6900
576,4,6912
577,4,6924
578,4,6936
579,4,6948
580,4,6960
581,4,6972
582,4,6984
583,4,6996
584,4,7008
585,4,7020
586,4,7032
587,4,7044
588,4,7056
589,4,7068
590,4,7080
591,4,7092
592,4,7104
593,4,7116
594,4,7128
595,4,7140
596,4,7152
597,4,7164
598,4,7176
599,4,7188
600,4,7200
601,4,7212
602,4,7224
603,4,7236
604,4,7248
605,4,7260
606,4,7272
607,4,7284
608,4,7296
609,4,7308
610,4,7320
611,4,7332
612,4,7344
613,4,7356
614,4,7368
615,4,7380
616,4,7392
617,4,7404
618,4,7416
619,4,7428
620,4,7440
621,4,7452
622,4,7464
623,4,7476
624,4,7488
625,4,7500
626,4,7512
627,4,7524
628,4,7536
629,4,7548
630,4,7560
631,4,7572
632,4,7584
633,4,7596
634,4,7608
635,4,7620
636,4,7632
637,4,7644
638,4,7656
639,4,7668
640,4,7680
641,4,7692
642,4,7704
643,4,7716
644,4,7728
645,4,7740
646,4,7752
647,4,7764
648,4,7776
649,4,7788
650,4,7800
651,4,7812
652,4,7824
653,4,7836
654,4,7848
655,4,7860
656,4,7872
657,4,7884
658,4,7896
659,4,7908
660,4,7920
661,4,7932
662,4,7944
663,4,7956
664,4,7968
665,4,7980
666,4,7992
667,4,8004
668,4,8016
669,4,8028
670,4,8040
671,4,8052
672,4,8064
673,4,8076
674,4,8088
675,4,8100
676,4,8112
677,4,8124
678,4,8136
679,4,8148
680,4,8160
681,4,8172
682,4,8184
683,4,8196
684,4,8208
685,4,8220
686,4,8232
687,4,8244
688,4,8256
689,4,8268
690,4,8280
691,4,8292
692,4,8304
693,4,8316
694,4,8328
695,4,8340
696,4,8352
697,4,8364
698,4,8376
699,4,8388
700,4,8400
701,4,8412
702,4,8424
703,4,8436
704,4,8448
705,4,8460
706,4,8472
707,4,8484
708,4,8496
709,4,8508
710,4,8520
711,4,8532
712,4,8544
713,4,8556
714,4,8568
715,4,8580
716,4,8592
717,4,8604
718,4,8616
719,4,8628
720,4,8640
721,4,8652
722,4,8664
723,4,8676
724,4,8688
725,4,8700
726,4,8712
727,4,8724
728,4,8736
729,4,8748
730,4,8760
731,4,8772
732,4,8784
733,4,8796
734,4,8808
735,4,8820
736,4,8832
737,4,8844
738,4,8856
739,4,8868
740,4,8880
741,4,8892
742,4,8904
743,4,8916
744,4,8928
745,4,8940
746,4,8952
747,4,8964
748,4,8976
749,4,8988
750,4,9000
751,4,9012
752,4,9024
753,4,9036
754,4,9048
755,4,9060
756,4,9072
757,4,9084
758,4,9096
759,4,9108
760,4,9120
761,4,9132
762,4,9144
763,4,9156
764,4,9168
765,4,9180
766,4,9192
767,4,9204
768,4,9216
769,4,9228
770,4,9240
771,4,9252
772,4,9264
773,4,9276
774,4,9288
775,4,9300
776,4,9312
777,4,9324
778,4,9336
779,4,9348
780,4,9360
781,4,9372
782,4,9384
783,4,9396
784,4,9408
785,4,9420
786,4,9432
787,4,9444
788,4,9456
789,4,9468
790,4,9480
791,4,9492
792,4,9504
793,4,9516
794,4,9528
795,4,9540
796,4,9552
797,4,9564
798,4,9580
799,4,9588
800,6,14400
801,6,14418
802,6,14440
803,6,14454
804,6,14472
805,6,14490
806,6,14508
807,6,14526
808,6,14544
809,6,14562
810,6,14580
811,6,14598
812,6,14616
813,6,14634
814,6,14652
815,6,14670
816,6,14688
817,6,14706
818,6,14724
819,6,14742
820,6,14760
821,6,14778
822,6,14796
823,6,14814
824,6,14832
825,6,14850
826,6,14868
827,6,14886
828,6,14904
829,6,14922
830,6,14940
831,6,14958
832,6,14976
833,6,14994
834,6,15012
835,6,15030
836,6,15048
837,6,15066
838,6,15084
839,6,15102
840,6,15120
841,6,15138
842,6,15156
843,6,15174
844,6,15192
845,6,15210
846,6,15228
847,6,15246
848,6,15264
849,6,15282
850,6,15300
851,6,15318
852,6,15336
853,6,15354
854,6,15372
855,6,15390
856,6,15408
857,6,15426
858,6,15444
859,6,15462
860,6,15480
861,6,15498
862,6,15516
863,6,15534
864,6,15552
865,6,15570
866,6,15588
867,6,15606
868,6,15624
869,6,15642
870,6,15660
871,6,15678
872,6,15696
873,6,15714
874,6,15732
875,6,15750
876,6,15768
877,6,15786
878,6,15804
879,6,15822
880,6,15840
881,6,15858
882,6,15876
883,6,15894
884,6,15912
885,6,15930
886,6,15948
887,6,15966
888,6,15984
889,6,16002
890,6,16020
891,6,16038
892,6,16056
893,6,16074
894,6,16092
895,6,16110
896,6,16128
897,6,16146
898,6,16164
899,6,16182
900,6,16200
901,6,16218
902,6,16236
903,6,16254
904,6,16272
905,6,16290
906,6,16308
907,6,16326
908,6,16344
909,6,16362
910,6,16380
911,6,16398
912,6,16416
913,6,16434
914,6,16452
915,6,16470
916,6,16488
917,6,16506
918,6,16524
919,6,16542
920,6,16560
921,6,16578
922,6,16596
923,6,16614
924,6,16632
925,6,16650
926,6,16668
927,6,16686
928,6,16704
929,6,16722
930,6,16740
931,6,16758
932,6,16776
933,6,16794
934,6,16812
935,6,16830
936,6,16848
937,6,16866
938,6,16884
939,6,16902
940,6,16920
941,6,16938
942,6,16956
943,6,16974
944,6,16992
945,6,17010
946,6,17028
947,6,17046
948,6,17064
949,6,17082
950,6,17100
951,6,17118
952,6,17136
953,6,17154
954,6,17172
955,6,17190
956,6,17208
957,6,17226
958,6,17244
959,6,17262
960,6,17280
961,6,17298
962,6,17316
963,6,17334
964,6,17352
965,6,17370
966,6,17388
967,6,17406
968,6,17424
969,6,17442
970,6,17460
971,6,17478
972,6,17496
973,6,17514
974,6,17532
975,6,17550
976,6,17568
977,6,17586
978,6,17604
979,6,17622
980,6,17640
981,6,17658
982,6,17676
983,6,17694
984,6,17712
985,6,17730
986,6,17748
987,6,17766
988,6,17784
989,6,17802
990,6,17820
991,6,17838
992,6,17856
993,6,17874
994,6,17892
995,6,17910
996,6,17928
997,6,17946
998,6,17964
999,6,17982
1000,6,18000
1001,6,18018
1002,6,18036
1003,6,18054
1004,6,18072
1005,6,18090
1006,6,18108
